Name,Quantity,Price,Source
Slide switch,1,$0.52,https://www.aliexpress.com/item/4000699324084.html?spm=a2g0o.productlist.similar_items.2.231632a6B8EdN5&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg%7Cx_object_id%3A4000699324084%7C_p_origin_prod%3A&algo_pvid=99595b86-6395-44b4-b291-2e68e0723b18&algo_exp_id=99595b86-6395-44b4-b291-2e68e0723b18&pdp_ext_f=%7B%22order%22%3A%222103%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.52%210.52%21%21%210.52%210.52%21%40212a70c117757236066772521eed17%2110000006189670627%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895#nav-specification
DC Motor,1,$1.62,https://www.aliexpress.com/item/1005010063021330.html?spm=a2g0o.productlist.main.13.3c10636doSqKlB&algo_pvid=3439e399-f10f-4a8f-ae74-c9b033af4d02&algo_exp_id=3439e399-f10f-4a8f-ae74-c9b033af4d02-12&pdp_ext_f=%7B%22order%22%3A%22127%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.52%211.62%21%21%2123.92%2111.00%21%40212a6e3217768288158978314e0878%2112000051000692893%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895&curPageLogUid=nn7mex5wQmdP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010063021330%7C_p_origin_prod%3A
Battery Holder,1,$1.16,https://www.aliexpress.com/item/1005008117795551.html?spm=a2g0o.productlist.main.15.7543292avaopRV&algo_pvid=dbecfde9-1e18-4d39-923d-b5b0be38aa70&algo_exp_id=dbecfde9-1e18-4d39-923d-b5b0be38aa70-9&pdp_ext_f=%7B%22order%22%3A%2231%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.84%210.84%21%21%215.72%215.72%21%4021010d9017768287397636824e4240%2112000043860328802%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895&curPageLogUid=qKT8KhelxvPV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008117795551%7C_p_origin_prod%3A
AA battery,2,$4.62,https://www.aliexpress.com/item/1005009330818644.html?spm=a2g0o.productlist.main.3.65a63b7fbGhcDU&algo_pvid=73784ed3-017e-4d2e-a224-79dd5ba8e4e6&algo_exp_id=73784ed3-017e-4d2e-a224-79dd5ba8e4e6-2&pdp_ext_f=%7B%22order%22%3A%225563%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.16%214.62%21%21%2141.82%2131.36%21%40210156fc17768288673884042e066e%2112000048777114700%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895&curPageLogUid=jSagqTyU4VOb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009330818644%7C_p_origin_prod%3A
M3 14mm Screws,1,$1.26,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.order_list.order_list_main.40.15821802o8oPo7
M3 OD4.2 L 4 Heatset inserts,1,$1.05,https://www.aliexpress.com/item/1005007659182107.html?spm=a2g0o.order_list.order_list_main.25.15821802o8oPo7
Total,,$10.23,
